src/main/java/com/mb/MbSpringRestApplication.java:13:	UnnecessaryAnnotationValueElement:	UnnecessaryAnnotationValueElement: Avoid the use of value in annotations when its the only element
src/main/java/com/mb/common/util/CustomResponseBuilder.java:77:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'validationErrorModels' is not assigned and could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:79:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'errorResponse' could be declared final
src/main/java/com/mb/common/util/Mapper.java:23:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/util/Mapper.java:26:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/util/Mapper.java:29:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/util/Mapper.java:31:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/util/Mapper.java:40:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'srcObj' is not assigned and could be declared final
src/main/java/com/mb/common/util/Mapper.java:40:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'targetClass' is not assigned and could be declared final
src/main/java/com/mb/common/util/Mapper.java:47:	PreserveStackTrace:	PreserveStackTrace: Thrown exception does not preserve the stack trace of exception 'argumentException' on all code paths
src/main/java/com/mb/common/util/Mapper.java:51:	PreserveStackTrace:	PreserveStackTrace: Thrown exception does not preserve the stack trace of exception 'eRuntimeException' on all code paths
src/main/java/com/mb/common/util/Mapper.java:56:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/util/Mapper.java:66:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'srcList' is not assigned and could be declared final
src/main/java/com/mb/common/util/Mapper.java:66:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'targetClass' is not assigned and could be declared final
src/main/java/com/mb/common/util/Mapper.java:67:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'response' could be declared final
